"Cancer_Type","N_Analyses","Sign_Agreement","Significance_Agreement","Log2FC_CV","Avg_Abs_Log2FC","Min_P_Value","Max_P_Value","Consistent_Across_Methods"
"TCGA-BLCA",12,1,1,0.0192177769085604,0.994642719920595,0.00190045935660519,0.0303592848352893,"Yes"
"TCGA-BRCA",12,1,1,0.0671255481041404,0.247000396309209,0.00010363187528952,0.000503053466821024,"Yes"
"TCGA-CESC",12,1,1,0.201162124216111,0.949861417870401,0.0323088434347632,0.0437594676364416,"Yes"
"TCGA-CHOL",12,1,1,0.0526421799032777,3.12222217280173,2.14274472188089e-05,4.08716329001884e-05,"Yes"
"TCGA-COAD",9,1,1,0.0632070380773438,1.22831034685327,2.11422945338795e-15,1.45552099639423e-11,"Yes"
"TCGA-ESCA",12,1,1,0.22345228906466,2.09399073439959,1.51587857499987e-05,0.000171570357454685,"Yes"
"TCGA-GBM",9,1,1,0.361210045198749,0.136199545025205,0.717733153935448,0.825072715991471,"Yes"
"TCGA-HNSC",12,1,1,0.0264229503261253,1.44652219999981,5.86737837869964e-18,1.34016988123817e-16,"Yes"
"TCGA-KICH",3,1,1,0.0989821623436478,0.658808304363387,5.96162449565735e-05,0.00246655668861045,"Yes"
"TCGA-KIRC",6,1,1,0.0203855358469294,1.16342195526307,9.08638437297098e-21,1.28745128805557e-19,"Yes"
"TCGA-KIRP",12,1,1,0.0945914591696288,2.14767100483295,2.63400608922794e-12,1.77408381847195e-10,"Yes"
"TCGA-LIHC",12,1,1,0.0700625758019546,0.884945557910572,4.47827592146228e-06,0.000451131275150612,"Yes"
"TCGA-LUAD",9,1,0,0.132691748456839,0.3819195658278,0.00255543124457588,0.102899018721669,"No"
"TCGA-LUSC",12,1,1,0.0156548448255446,1.52176482002165,4.90235004473229e-18,2.46824479163489e-17,"Yes"
"TCGA-PAAD",12,1,1,0.0742294343818645,1.04851839144854,0.193476817985658,0.302234813560188,"Yes"
"TCGA-PCPG",3,1,1,0.898463273830219,0.481164196239595,0.109087393030519,0.707129866953781,"Yes"
"TCGA-PRAD",3,1,0,0.755145128996157,0.117504020914549,0.0363391424975062,0.846360296646959,"No"
"TCGA-READ",6,1,1,0.0599368046402529,1.04742555002154,1.93555720246734e-05,0.000137810149654405,"Yes"
"TCGA-STAD",9,1,1,0.01863264229629,1.51752831388011,2.2785140049153e-10,3.1930937656828e-08,"Yes"
"TCGA-THCA",9,1,1,0.0174417932120052,1.11663876627237,1.15903401826966e-17,4.87675209084969e-16,"Yes"
"TCGA-UCEC",6,1,0,0.313349354751365,0.334150339807171,0.00112410938414628,0.121822521135838,"No"
