"Filter_Threshold","Batch_Method","Log2FC","P_value","N_Tumor","N_Normal","Median_Tumor","Median_Normal","Analysis_ID","Cancer_Type"
5,"ComBat",1.02393285992949,0.0150580540759802,412,19,3.83434272597189,2.8104098660424,"5_ComBat","TCGA-BLCA"
5,"limma_removeBatchEffect",1.00934994171262,0.00190045935660519,412,19,3.59784819420345,2.58849825249083,"5_limma_removeBatchEffect","TCGA-BLCA"
5,"none",0.99106518791927,0.0303592848352893,412,19,3.82678718989362,2.83572200197435,"5_none","TCGA-BLCA"
10,"ComBat",0.966604375273912,0.0149021928341587,412,19,3.82860847100155,2.86200409572763,"10_ComBat","TCGA-BLCA"
10,"limma_removeBatchEffect",1.00934994171262,0.00190045935660519,412,19,3.59784819420345,2.58849825249083,"10_limma_removeBatchEffect","TCGA-BLCA"
10,"none",0.99106518791927,0.0303592848352893,412,19,3.82678718989362,2.83572200197435,"10_none","TCGA-BLCA"
20,"ComBat",0.957418627476082,0.0152153493622453,412,19,3.83498068760013,2.87756206012404,"20_ComBat","TCGA-BLCA"
20,"limma_removeBatchEffect",1.00934994171262,0.00190045935660519,412,19,3.59784819420345,2.58849825249083,"20_limma_removeBatchEffect","TCGA-BLCA"
20,"none",0.99106518791927,0.0303592848352893,412,19,3.82678718989362,2.83572200197435,"20_none","TCGA-BLCA"
30,"ComBat",0.986096257840094,0.0161898528721652,412,19,3.86880037562613,2.88270411778604,"30_ComBat","TCGA-BLCA"
30,"limma_removeBatchEffect",1.00934994171262,0.00190045935660519,412,19,3.59784819420345,2.58849825249083,"30_limma_removeBatchEffect","TCGA-BLCA"
30,"none",0.99106518791927,0.0303592848352893,412,19,3.82678718989362,2.83572200197435,"30_none","TCGA-BLCA"
5,"ComBat",0.225550966627718,0.000190022866830505,1111,113,4.23188609060134,4.00633512397362,"5_ComBat","TCGA-BRCA"
5,"limma_removeBatchEffect",0.259168207766791,0.00010363187528952,1111,113,4.50128102920113,4.24211282143434,"5_limma_removeBatchEffect","TCGA-BRCA"
5,"none",0.25719586656875,0.000419140035222539,1111,113,4.25263515918751,3.99543929261876,"5_none","TCGA-BRCA"
10,"ComBat",0.226089756624774,0.000244230236014425,1111,113,4.23182848178674,4.00573872516197,"10_ComBat","TCGA-BRCA"
10,"limma_removeBatchEffect",0.259168207766791,0.00010363187528952,1111,113,4.50128102920113,4.24211282143434,"10_limma_removeBatchEffect","TCGA-BRCA"
10,"none",0.25719586656875,0.000419140035222539,1111,113,4.25263515918751,3.99543929261876,"10_none","TCGA-BRCA"
20,"ComBat",0.225650452897132,0.00036830890565191,1111,113,4.23662908498758,4.01097863209045,"20_ComBat","TCGA-BRCA"
20,"limma_removeBatchEffect",0.259168207766791,0.00010363187528952,1111,113,4.50128102920113,4.24211282143434,"20_limma_removeBatchEffect","TCGA-BRCA"
20,"none",0.25719586656875,0.000419140035222539,1111,113,4.25263515918751,3.99543929261876,"20_none","TCGA-BRCA"
30,"ComBat",0.221257282218718,0.000503053466821024,1111,113,4.23874316367014,4.01748588145142,"30_ComBat","TCGA-BRCA"
30,"limma_removeBatchEffect",0.259168207766791,0.00010363187528952,1111,113,4.50128102920113,4.24211282143434,"30_limma_removeBatchEffect","TCGA-BRCA"
30,"none",0.25719586656875,0.000419140035222539,1111,113,4.25263515918751,3.99543929261876,"30_none","TCGA-BRCA"
5,"ComBat",1.05289162092056,0.0328401197037028,304,3,5.07048525462692,4.01759363370635,"5_ComBat","TCGA-CESC"
